sku_id,sku_name,category,subcategory,unit_cost,selling_price,lead_time_hours,shelf_life_days,priority_class,velocity_class,minimum_order_quantity,case_pack_size,active_flag
289,PET _PET _19,Pet Care,Pet Treats,392.26,479.06,96,287,C,Low,96,24,True
290,PET _PET _20,Pet Care,Pet Hygiene,199.79,240.2,48,326,C,Low,16,8,True
291,PET _DOG _21,Pet Care,Dog Food,275.76,384.98,72,289,C,Low,48,24,True
292,PET _CAT _22,Pet Care,Cat Food,197.99,251.82,24,201,C,Low,96,24,True
293,PET _PET _23,Pet Care,Pet Treats,385.09,478.5,72,234,C,Low,48,12,True
294,PET _PET _24,Pet Care,Pet Hygiene,59.59,77.14,72,263,C,Low,24,8,True
295,PET _DOG _25,Pet Care,Dog Food,115.36,153.09,24,248,C,Low,36,12,True
296,PET _CAT _26,Pet Care,Cat Food,66.04,84.64,96,274,C,Low,24,24,True
297,PET _PET _27,Pet Care,Pet Treats,105.85,129.29,48,242,C,Low,4,4,True
298,PET _PET _28,Pet Care,Pet Hygiene,428.93,544.35,24,326,C,Low,32,8,True
299,PET _DOG _29,Pet Care,Dog Food,82.29,108.9,96,337,C,Low,72,24,True
300,PET _CAT _30,Pet Care,Cat Food,221.61,282.52,48,186,C,Low,18,6,True
