priority_rank,date_key,store_id,store_name,city_id,sku_id,sku_name,category,risk_score,risk_level,hours_to_stockout,days_of_cover,current_closing_stock,projected_inventory,reorder_point,target_stock,recommended_quantity,case_pack_size,lost_sales_exposure,reason,action
132,20260629,22,MUM_DS_02,3,130,FRUI_CUT _10,Fruits & Vegetables,36,Medium,23.0,1.28,105,105,114,605,500,4,3777.06,Projected inventory (105) breached ROP (114). Target: 605.,Scheduled Replenishment
133,20260629,23,MUM_DS_03,3,189,PERS_SKIN_09,Personal Care,36,Medium,16.9,0.94,11,11,31,89,78,6,1458.83,Projected inventory (11) breached ROP (31). Target: 89.,Scheduled Replenishment
134,20260629,26,MUM_DS_06,3,16,DAIR_MILK_16,Dairy,36,Medium,35.1,1.95,116,116,264,502,396,12,0.0,Projected inventory (116) breached ROP (264). Target: 502.,Scheduled Replenishment
135,20260629,17,DEL_DS_07,2,159,STAP_EDIB_09,Staples,35,Medium,20.0,1.11,37,37,88,255,220,4,18691.94,Projected inventory (37) breached ROP (88). Target: 255.,Scheduled Replenishment
136,20260629,21,MUM_DS_01,3,262,BABY_BABY_22,Baby Care,35,Medium,21.4,1.19,44,44,99,284,240,6,13791.51,Projected inventory (44) breached ROP (99). Target: 284.,Scheduled Replenishment
137,20260629,40,HYD_DS_10,4,68,SNAC_NAMK_08,Snacks,35,Medium,23.8,1.32,66,66,100,375,312,6,8937.0,Projected inventory (66) breached ROP (100). Target: 375.,Scheduled Replenishment
138,20260629,1,BEN_DS_01,1,131,FRUI_FRES_11,Fruits & Vegetables,35,Medium,11.2,0.62,27,27,34,317,294,6,4353.92,Projected inventory (27) breached ROP (34). Target: 317.,Scheduled Replenishment
139,20260629,21,MUM_DS_01,3,69,SNAC_CHOC_09,Snacks,35,Medium,24.1,1.34,51,51,78,287,240,8,0.0,Projected inventory (51) breached ROP (78). Target: 287.,Scheduled Replenishment
140,20260629,21,MUM_DS_01,3,4,DAIR_CHEE_04,Dairy,35,Medium,24.7,1.37,107,107,201,591,484,4,0.0,Projected inventory (107) breached ROP (201). Target: 591.,Scheduled Replenishment
141,20260629,29,MUM_DS_09,3,2,DAIR_CURD_02,Dairy,35,Medium,24.7,1.37,106,106,130,594,488,4,0.0,Projected inventory (106) breached ROP (130). Target: 594.,Scheduled Replenishment
142,20260629,1,BEN_DS_01,1,272,PET _CAT _02,Pet Care,35,Medium,26.3,1.46,7,7,20,39,36,6,0.0,Projected inventory (7) breached ROP (20). Target: 39.,Scheduled Replenishment
143,20260629,2,BEN_DS_02,1,282,PET _PET _12,Pet Care,35,Medium,28.1,1.56,8,8,22,42,48,24,0.0,Projected inventory (8) breached ROP (22). Target: 42.,Scheduled Replenishment
144,20260629,28,MUM_DS_08,3,261,BABY_DIAP_21,Baby Care,35,Medium,45.4,2.52,48,48,119,176,128,4,0.0,Projected inventory (48) breached ROP (119). Target: 176.,Scheduled Replenishment
145,20260629,29,MUM_DS_09,3,149,FRUI_SEAS_29,Fruits & Vegetables,34,Medium,15.8,0.88,63,63,141,534,480,24,7434.57,Projected inventory (63) breached ROP (141). Target: 534.,Scheduled Replenishment
146,20260629,23,MUM_DS_03,3,192,PERS_HAIR_12,Personal Care,34,Medium,23.9,1.33,9,9,27,54,48,8,2428.44,Projected inventory (9) breached ROP (27). Target: 54.,Scheduled Replenishment
147,20260629,21,MUM_DS_01,3,193,PERS_ORAL_13,Personal Care,34,Medium,22.5,1.25,6,6,14,38,32,4,595.92,Projected inventory (6) breached ROP (14). Target: 38.,Scheduled Replenishment
148,20260629,30,MUM_DS_10,3,36,BEVE_JUIC_06,Beverages,34,Medium,25.4,1.41,49,49,70,261,12,6,0.0,Projected inventory (49) breached ROP (70). Target: 261. Scaled down to respect dark store physical capacity buffer.,Scheduled Replenishment
149,20260629,25,MUM_DS_05,3,39,BEVE_ENER_09,Beverages,34,Medium,25.6,1.42,69,69,124,367,304,8,0.0,Projected inventory (69) breached ROP (124). Target: 367.,Scheduled Replenishment
150,20260629,8,BEN_DS_08,1,40,BEVE_WATE_10,Beverages,34,Medium,25.9,1.44,94,94,242,504,412,4,0.0,Projected inventory (94) breached ROP (242). Target: 504.,Scheduled Replenishment
151,20260629,2,BEN_DS_02,1,252,BABY_BABY_12,Baby Care,34,Medium,47.7,2.65,116,116,279,410,296,4,0.0,Projected inventory (116) breached ROP (279). Target: 410.,Scheduled Replenishment
152,20260629,23,MUM_DS_03,3,88,SNAC_NAMK_28,Snacks,33,Medium,22.0,1.22,84,84,253,529,450,6,9495.78,Projected inventory (84) breached ROP (253). Target: 529.,Scheduled Replenishment
153,20260629,16,DEL_DS_06,2,158,STAP_DALS_08,Staples,33,Medium,21.8,1.21,42,42,128,266,228,6,2271.77,Projected inventory (42) breached ROP (128). Target: 266.,Scheduled Replenishment
154,20260629,7,BEN_DS_07,1,274,PET _PET _04,Pet Care,33,Medium,22.0,1.22,11,11,43,70,60,12,1963.17,Projected inventory (11) breached ROP (43). Target: 70.,Scheduled Replenishment
155,20260629,33,HYD_DS_03,4,237,HOUS_DISH_27,Household,33,Medium,18.0,1.0,5,5,8,38,36,4,1197.6,Projected inventory (5) breached ROP (8). Target: 38.,Scheduled Replenishment
156,20260629,22,MUM_DS_02,3,239,HOUS_DISP_29,Household,33,Medium,18.2,1.01,5,5,8,38,36,6,631.98,Projected inventory (5) breached ROP (8). Target: 38.,Scheduled Replenishment
157,20260629,28,MUM_DS_08,3,164,STAP_EDIB_14,Staples,33,Medium,24.8,1.38,19,19,53,108,92,4,0.0,Projected inventory (19) breached ROP (53). Target: 108.,Scheduled Replenishment
158,20260629,1,BEN_DS_01,1,289,PET _PET _19,Pet Care,33,Medium,25.4,1.41,12,12,42,68,96,24,0.0,Projected inventory (12) breached ROP (42). Target: 68.,Scheduled Replenishment
159,20260629,21,MUM_DS_01,3,65,SNAC_NUTS_05,Snacks,33,Medium,27.0,1.5,111,111,145,553,456,24,0.0,Projected inventory (111) breached ROP (145). Target: 553.,Scheduled Replenishment
160,20260629,40,HYD_DS_10,4,36,BEVE_JUIC_06,Beverages,33,Medium,27.0,1.5,67,67,90,335,270,6,0.0,Projected inventory (67) breached ROP (90). Target: 335.,Scheduled Replenishment
161,20260629,29,MUM_DS_09,3,62,SNAC_BISC_02,Snacks,33,Medium,27.9,1.55,112,112,183,543,432,24,0.0,Projected inventory (112) breached ROP (183). Target: 543.,Scheduled Replenishment
162,20260629,16,DEL_DS_06,2,12,DAIR_CURD_12,Dairy,33,Medium,33.8,1.88,203,203,459,891,696,12,0.0,Projected inventory (203) breached ROP (459). Target: 891.,Scheduled Replenishment
163,20260629,35,HYD_DS_05,4,168,STAP_DALS_18,Staples,33,Medium,49.1,2.73,106,238,247,364,126,6,0.0,Projected inventory (238) breached ROP (247). Target: 364.,Scheduled Replenishment
164,20260629,29,MUM_DS_09,3,187,PERS_HAIR_07,Personal Care,32,Medium,23.8,1.32,11,11,33,66,60,12,2852.52,Projected inventory (11) breached ROP (33). Target: 66.,Scheduled Replenishment
165,20260629,10,BEN_DS_10,1,279,PET _DOG _09,Pet Care,32,Medium,18.4,1.02,12,12,31,90,80,8,2851.88,Projected inventory (12) breached ROP (31). Target: 90.,Scheduled Replenishment
166,20260629,2,BEN_DS_02,1,181,PERS_SOAP_01,Personal Care,32,Medium,18.5,1.03,12,12,19,89,84,12,2632.85,Projected inventory (12) breached ROP (19). Target: 89.,Scheduled Replenishment
167,20260629,23,MUM_DS_03,3,224,HOUS_DISP_14,Household,32,Medium,22.0,1.22,16,16,50,102,88,8,1723.18,Projected inventory (16) breached ROP (50). Target: 102.,Scheduled Replenishment
168,20260629,8,BEN_DS_08,1,193,PERS_ORAL_13,Personal Care,32,Medium,19.6,1.09,5,5,13,35,32,4,568.55,Projected inventory (5) breached ROP (13). Target: 35.,Scheduled Replenishment
169,20260629,22,MUM_DS_02,3,107,PACK_PAST_17,Packaged Foods,32,Medium,24.5,1.36,41,41,114,234,204,12,0.0,Projected inventory (41) breached ROP (114). Target: 234.,Scheduled Replenishment
170,20260629,17,DEL_DS_07,2,163,STAP_DALS_13,Staples,32,Medium,26.1,1.45,30,30,100,162,136,8,0.0,Projected inventory (30) breached ROP (100). Target: 162.,Scheduled Replenishment
171,20260629,28,MUM_DS_08,3,218,HOUS_CLEA_08,Household,32,Medium,26.1,1.45,6,6,21,33,30,6,0.0,Projected inventory (6) breached ROP (21). Target: 33.,Scheduled Replenishment
172,20260629,18,DEL_DS_08,2,220,HOUS_REPE_10,Household,32,Medium,26.5,1.47,9,9,25,49,48,12,0.0,Projected inventory (9) breached ROP (25). Target: 49.,Scheduled Replenishment
173,20260629,16,DEL_DS_06,2,36,BEVE_JUIC_06,Beverages,32,Medium,28.1,1.56,80,80,98,381,306,6,0.0,Projected inventory (80) breached ROP (98). Target: 381.,Scheduled Replenishment
174,20260629,28,MUM_DS_08,3,63,SNAC_NAMK_03,Snacks,32,Medium,28.4,1.58,100,100,231,483,384,8,0.0,Projected inventory (100) breached ROP (231). Target: 483.,Scheduled Replenishment
175,20260629,4,BEN_DS_04,1,65,SNAC_NUTS_05,Snacks,32,Medium,28.8,1.6,107,107,135,502,408,24,0.0,Projected inventory (107) breached ROP (135). Target: 502.,Scheduled Replenishment
176,20260629,25,MUM_DS_05,3,64,SNAC_CHOC_04,Snacks,32,Medium,28.8,1.6,128,128,203,603,480,8,0.0,Projected inventory (128) breached ROP (203). Target: 603.,Scheduled Replenishment
177,20260629,1,BEN_DS_01,1,61,SNAC_CHIP_01,Snacks,32,Medium,29.5,1.64,116,116,260,544,432,24,0.0,Projected inventory (116) breached ROP (260). Target: 544.,Scheduled Replenishment
178,20260629,29,MUM_DS_09,3,55,BEVE_WATE_25,Beverages,31,Medium,17.8,0.99,88,88,175,665,588,12,6826.34,Projected inventory (88) breached ROP (175). Target: 665.,Scheduled Replenishment
179,20260629,26,MUM_DS_06,3,55,BEVE_WATE_25,Beverages,31,Medium,18.0,1.0,81,81,161,606,528,12,6192.26,Projected inventory (81) breached ROP (161). Target: 606.,Scheduled Replenishment
180,20260629,21,MUM_DS_01,3,140,FRUI_CUT _20,Fruits & Vegetables,31,Medium,18.0,1.0,41,41,58,304,264,8,2230.55,Projected inventory (41) breached ROP (58). Target: 304.,Scheduled Replenishment
181,20260629,2,BEN_DS_02,1,135,FRUI_CUT _15,Fruits & Vegetables,31,Medium,24.7,1.37,97,97,266,549,452,4,0.0,Projected inventory (97) breached ROP (266). Target: 549.,Scheduled Replenishment
182,20260629,2,BEN_DS_02,1,219,HOUS_DISP_09,Household,31,Medium,26.6,1.48,17,17,46,92,96,24,0.0,Projected inventory (17) breached ROP (46). Target: 92.,Scheduled Replenishment
183,20260629,15,DEL_DS_05,2,236,HOUS_DETE_26,Household,31,Medium,27.7,1.54,12,12,32,63,54,6,0.0,Projected inventory (12) breached ROP (32). Target: 63.,Scheduled Replenishment
184,20260629,3,BEN_DS_03,1,36,BEVE_JUIC_06,Beverages,31,Medium,30.1,1.67,75,75,91,338,6,6,0.0,Projected inventory (75) breached ROP (91). Target: 338. Scaled down to respect dark store physical capacity buffer.,Scheduled Replenishment
185,20260629,22,MUM_DS_02,3,9,DAIR_CHEE_09,Dairy,31,Medium,30.1,1.67,84,84,100,377,296,8,0.0,Projected inventory (84) breached ROP (100). Target: 377.,Scheduled Replenishment
186,20260629,22,MUM_DS_02,3,40,BEVE_WATE_10,Beverages,31,Medium,30.6,1.7,146,146,312,655,512,4,0.0,Projected inventory (146) breached ROP (312). Target: 655.,Scheduled Replenishment
187,20260629,26,MUM_DS_06,3,126,FRUI_FRES_06,Fruits & Vegetables,31,Medium,31.1,1.73,119,119,252,527,408,8,0.0,Projected inventory (119) breached ROP (252). Target: 527.,Scheduled Replenishment
188,20260629,28,MUM_DS_08,3,97,PACK_PAST_07,Packaged Foods,31,Medium,37.6,2.09,51,51,83,206,168,24,0.0,Projected inventory (51) breached ROP (83). Target: 206.,Scheduled Replenishment
189,20260629,22,MUM_DS_02,3,161,STAP_ATTA_11,Staples,31,Medium,37.8,2.1,52,52,60,209,160,4,0.0,Projected inventory (52) breached ROP (60). Target: 209.,Scheduled Replenishment
190,20260629,23,MUM_DS_03,3,25,DAIR_PANE_25,Dairy,30,Medium,19.1,1.06,94,94,175,662,576,24,16455.42,Projected inventory (94) breached ROP (175). Target: 662.,Scheduled Replenishment
191,20260629,7,BEN_DS_07,1,87,SNAC_BISC_27,Snacks,30,Medium,19.8,1.1,86,86,156,585,504,12,15727.14,Projected inventory (86) breached ROP (156). Target: 585.,Scheduled Replenishment
192,20260629,22,MUM_DS_02,3,73,SNAC_NAMK_13,Snacks,30,Medium,22.0,1.22,123,123,366,768,648,24,9252.62,Projected inventory (123) breached ROP (366). Target: 768.,Scheduled Replenishment
193,20260629,37,HYD_DS_07,4,95,PACK_READ_05,Packaged Foods,30,Medium,24.8,1.38,26,26,33,147,144,24,0.0,Projected inventory (26) breached ROP (33). Target: 147.,Scheduled Replenishment
194,20260629,39,HYD_DS_09,4,276,PET _CAT _06,Pet Care,30,Medium,27.2,1.51,11,11,37,59,48,12,0.0,Projected inventory (11) breached ROP (37). Target: 59.,Scheduled Replenishment
195,20260629,29,MUM_DS_09,3,40,BEVE_WATE_10,Beverages,30,Medium,31.9,1.77,153,153,313,659,508,4,0.0,Projected inventory (153) breached ROP (313). Target: 659.,Scheduled Replenishment
196,20260629,18,DEL_DS_08,2,68,SNAC_NAMK_08,Snacks,30,Medium,32.6,1.81,84,84,93,349,270,6,0.0,Projected inventory (84) breached ROP (93). Target: 349.,Scheduled Replenishment
197,20260629,39,HYD_DS_09,4,281,PET _PET _11,Pet Care,30,Medium,35.5,1.97,8,8,23,35,28,4,0.0,Projected inventory (8) breached ROP (23). Target: 35.,Scheduled Replenishment
198,20260629,24,MUM_DS_04,3,35,BEVE_WATE_05,Beverages,30,Medium,60.5,3.36,199,199,302,539,348,12,0.0,Projected inventory (199) breached ROP (302). Target: 539.,Scheduled Replenishment
199,20260629,7,BEN_DS_07,1,179,STAP_EDIB_29,Staples,29,Low,23.0,1.28,51,51,106,304,264,24,19775.18,Projected inventory (51) breached ROP (106). Target: 304.,Scheduled Replenishment
200,20260629,26,MUM_DS_06,3,72,SNAC_BISC_12,Snacks,29,Low,20.0,1.11,70,70,125,471,408,12,10824.03,Projected inventory (70) breached ROP (125). Target: 471.,Scheduled Replenishment
201,20260629,39,HYD_DS_09,4,142,FRUI_EXOT_22,Fruits & Vegetables,29,Low,20.0,1.11,73,73,132,493,424,8,4200.96,Projected inventory (73) breached ROP (132). Target: 493.,Scheduled Replenishment
202,20260629,26,MUM_DS_06,3,98,PACK_SAUC_08,Packaged Foods,29,Low,20.5,1.14,20,20,37,133,120,12,3904.41,Projected inventory (20) breached ROP (37). Target: 133.,Scheduled Replenishment
203,20260629,29,MUM_DS_09,3,71,SNAC_CHIP_11,Snacks,29,Low,21.1,1.17,66,66,113,423,360,6,3840.1,Projected inventory (66) breached ROP (113). Target: 423.,Scheduled Replenishment
204,20260629,22,MUM_DS_02,3,157,STAP_RICE_07,Staples,29,Low,21.1,1.17,30,30,37,191,162,6,3672.93,Projected inventory (30) breached ROP (37). Target: 191.,Scheduled Replenishment
205,20260629,17,DEL_DS_07,2,74,SNAC_CHOC_14,Snacks,29,Low,20.3,1.13,57,57,127,379,328,8,3393.25,Projected inventory (57) breached ROP (127). Target: 379.,Scheduled Replenishment
206,20260629,22,MUM_DS_02,3,134,FRUI_SEAS_14,Fruits & Vegetables,29,Low,21.4,1.19,78,78,92,486,408,8,2472.0,Projected inventory (78) breached ROP (92). Target: 486.,Scheduled Replenishment
207,20260629,22,MUM_DS_02,3,255,BABY_BABY_15,Baby Care,29,Low,25.6,1.42,32,32,85,175,144,6,0.0,Projected inventory (32) breached ROP (85). Target: 175.,Scheduled Replenishment
208,20260629,7,BEN_DS_07,1,106,PACK_NOOD_16,Packaged Foods,29,Low,31.5,1.75,63,63,109,289,232,8,0.0,Projected inventory (63) breached ROP (109). Target: 289.,Scheduled Replenishment
209,20260629,9,BEN_DS_09,1,38,BEVE_TEA _08,Beverages,29,Low,33.3,1.85,112,112,119,452,360,24,0.0,Projected inventory (112) breached ROP (119). Target: 452.,Scheduled Replenishment
210,20260629,9,BEN_DS_09,1,70,SNAC_NUTS_10,Snacks,29,Low,33.3,1.85,111,111,118,448,342,6,0.0,Projected inventory (111) breached ROP (118). Target: 448.,Scheduled Replenishment
211,20260629,22,MUM_DS_02,3,65,SNAC_NUTS_05,Snacks,29,Low,34.0,1.89,161,161,167,635,480,24,0.0,Projected inventory (161) breached ROP (167). Target: 635.,Scheduled Replenishment
212,20260629,11,DEL_DS_01,2,228,HOUS_CLEA_18,Household,29,Low,34.6,1.92,17,17,30,75,64,8,0.0,Projected inventory (17) breached ROP (30). Target: 75.,Scheduled Replenishment
213,20260629,29,MUM_DS_09,3,270,BABY_BABY_30,Baby Care,28,Low,22.7,1.26,24,24,29,143,120,4,11269.28,Projected inventory (24) breached ROP (29). Target: 143.,Scheduled Replenishment
214,20260629,7,BEN_DS_07,1,78,SNAC_NAMK_18,Snacks,28,Low,22.3,1.24,91,91,191,559,468,6,9815.48,Projected inventory (91) breached ROP (191). Target: 559.,Scheduled Replenishment
215,20260629,29,MUM_DS_09,3,18,DAIR_BUTT_18,Dairy,28,Low,22.3,1.24,58,58,90,348,294,6,9538.05,Projected inventory (58) breached ROP (90). Target: 348.,Scheduled Replenishment
216,20260629,28,MUM_DS_08,3,24,DAIR_CHEE_24,Dairy,28,Low,22.7,1.26,98,98,282,592,504,12,8038.3,Projected inventory (98) breached ROP (282). Target: 592.,Scheduled Replenishment
217,20260629,40,HYD_DS_10,4,161,STAP_ATTA_11,Staples,28,Low,21.6,1.2,20,20,23,123,104,4,7112.95,Projected inventory (20) breached ROP (23). Target: 123.,Scheduled Replenishment
218,20260629,23,MUM_DS_03,3,265,BABY_DIAP_25,Baby Care,28,Low,22.9,1.27,55,55,62,323,270,6,7092.12,Projected inventory (55) breached ROP (62). Target: 323.,Scheduled Replenishment
219,20260629,22,MUM_DS_02,3,23,DAIR_BUTT_23,Dairy,28,Low,22.9,1.27,136,136,216,805,672,8,6116.91,Projected inventory (136) breached ROP (216). Target: 805.,Scheduled Replenishment
220,20260629,26,MUM_DS_06,3,96,PACK_NOOD_06,Packaged Foods,28,Low,21.8,1.21,40,40,66,247,216,12,5962.11,Projected inventory (40) breached ROP (66). Target: 247.,Scheduled Replenishment
221,20260629,22,MUM_DS_02,3,115,PACK_READ_25,Packaged Foods,28,Low,21.6,1.2,27,27,32,167,144,6,5347.06,Projected inventory (27) breached ROP (32). Target: 167.,Scheduled Replenishment
222,20260629,8,BEN_DS_08,1,259,BABY_BABY_19,Baby Care,28,Low,22.5,1.25,18,18,38,110,96,12,5195.88,Projected inventory (18) breached ROP (38). Target: 110.,Scheduled Replenishment
223,20260629,8,BEN_DS_08,1,176,STAP_ATTA_26,Staples,28,Low,22.9,1.27,18,18,36,106,90,6,4008.27,Projected inventory (18) breached ROP (36). Target: 106.,Scheduled Replenishment
224,20260629,21,MUM_DS_01,3,49,BEVE_ENER_19,Beverages,28,Low,21.8,1.21,93,93,158,581,492,12,3254.14,Projected inventory (93) breached ROP (158). Target: 581.,Scheduled Replenishment
225,20260629,29,MUM_DS_09,3,300,PET _CAT _30,Pet Care,28,Low,22.0,1.22,14,14,31,89,78,6,3229.2,Projected inventory (14) breached ROP (31). Target: 89.,Scheduled Replenishment
226,20260629,15,DEL_DS_05,2,51,BEVE_JUIC_21,Beverages,28,Low,22.7,1.26,44,44,89,263,220,4,2870.18,Projected inventory (44) breached ROP (89). Target: 263.,Scheduled Replenishment
227,20260629,10,BEN_DS_10,1,297,PET _PET _27,Pet Care,28,Low,18.2,1.01,13,13,33,98,88,4,1671.72,Projected inventory (13) breached ROP (33). Target: 98.,Scheduled Replenishment
228,20260629,22,MUM_DS_02,3,141,FRUI_FRES_21,Fruits & Vegetables,28,Low,21.8,1.21,93,93,107,569,476,4,1502.09,Projected inventory (93) breached ROP (107). Target: 569.,Scheduled Replenishment
229,20260629,37,HYD_DS_07,4,114,PACK_BREA_24,Packaged Foods,28,Low,22.3,1.24,27,27,57,165,144,12,1272.64,Projected inventory (27) breached ROP (57). Target: 165.,Scheduled Replenishment
230,20260629,40,HYD_DS_10,4,289,PET _PET _19,Pet Care,28,Low,27.0,1.5,13,13,43,69,96,24,0.0,Projected inventory (13) breached ROP (43). Target: 69.,Scheduled Replenishment
231,20260629,39,HYD_DS_09,4,63,SNAC_NAMK_03,Snacks,28,Low,34.7,1.93,136,136,260,541,408,8,0.0,Projected inventory (136) breached ROP (260). Target: 541.,Scheduled Replenishment
232,20260629,17,DEL_DS_07,2,122,FRUI_EXOT_02,Fruits & Vegetables,28,Low,40.5,2.25,185,185,265,677,496,8,0.0,Projected inventory (185) breached ROP (265). Target: 677.,Scheduled Replenishment
233,20260629,29,MUM_DS_09,3,265,BABY_DIAP_25,Baby Care,27,Low,23.4,1.3,58,58,63,330,276,6,7266.85,Projected inventory (58) breached ROP (63). Target: 330.,Scheduled Replenishment
234,20260629,16,DEL_DS_06,2,139,FRUI_SEAS_19,Fruits & Vegetables,27,Low,23.6,1.31,113,113,315,659,552,8,7105.08,Projected inventory (113) breached ROP (315). Target: 659.,Scheduled Replenishment
235,20260629,26,MUM_DS_06,3,100,PACK_READ_10,Packaged Foods,27,Low,23.9,1.33,56,56,155,324,272,8,4605.53,Projected inventory (56) breached ROP (155). Target: 324.,Scheduled Replenishment
236,20260629,40,HYD_DS_10,4,71,SNAC_CHIP_11,Snacks,27,Low,23.4,1.3,61,61,92,349,288,6,3192.01,Projected inventory (61) breached ROP (92). Target: 349.,Scheduled Replenishment
237,20260629,21,MUM_DS_01,3,279,PET _DOG _09,Pet Care,27,Low,23.9,1.33,16,16,34,94,80,8,2919.61,Projected inventory (16) breached ROP (34). Target: 94.,Scheduled Replenishment
238,20260629,22,MUM_DS_02,3,137,FRUI_EXOT_17,Fruits & Vegetables,27,Low,23.8,1.32,142,142,150,794,660,12,2734.82,Projected inventory (142) breached ROP (150). Target: 794.,Scheduled Replenishment
239,20260629,39,HYD_DS_09,4,46,BEVE_JUIC_16,Beverages,27,Low,23.6,1.31,108,108,214,624,528,24,2634.23,Projected inventory (108) breached ROP (214). Target: 624.,Scheduled Replenishment
240,20260629,17,DEL_DS_07,2,28,DAIR_BUTT_28,Dairy,27,Low,23.9,1.33,62,62,124,357,312,24,1826.89,Projected inventory (62) breached ROP (124). Target: 357.,Scheduled Replenishment
241,20260629,16,DEL_DS_06,2,215,HOUS_REPE_05,Household,27,Low,20.3,1.13,13,13,30,88,76,4,796.15,Projected inventory (13) breached ROP (30). Target: 88.,Scheduled Replenishment
242,20260629,22,MUM_DS_02,3,58,BEVE_TEA _28,Beverages,27,Low,24.1,1.34,109,109,204,609,504,24,0.0,Projected inventory (109) breached ROP (204). Target: 609.,Scheduled Replenishment
243,20260629,29,MUM_DS_09,3,111,PACK_NOOD_21,Packaged Foods,27,Low,24.3,1.35,41,41,41,223,184,4,0.0,Projected inventory (41) breached ROP (41). Target: 223.,Scheduled Replenishment
244,20260629,30,MUM_DS_10,3,263,BABY_BABY_23,Baby Care,27,Low,24.3,1.35,23,23,45,130,4,4,0.0,Projected inventory (23) breached ROP (45). Target: 130. Scaled down to respect dark store physical capacity buffer.,Scheduled Replenishment
245,20260629,40,HYD_DS_10,4,14,DAIR_CHEE_14,Dairy,27,Low,24.3,1.35,109,109,204,606,504,24,0.0,Projected inventory (109) breached ROP (204). Target: 606.,Scheduled Replenishment
246,20260629,7,BEN_DS_07,1,149,FRUI_SEAS_29,Fruits & Vegetables,27,Low,24.5,1.36,83,83,123,459,384,24,0.0,Projected inventory (83) breached ROP (123). Target: 459.,Scheduled Replenishment
247,20260629,21,MUM_DS_01,3,48,BEVE_TEA _18,Beverages,27,Low,24.7,1.37,74,74,108,405,336,6,0.0,Projected inventory (74) breached ROP (108). Target: 405.,Scheduled Replenishment
248,20260629,16,DEL_DS_06,2,31,BEVE_JUIC_01,Beverages,27,Low,36.2,2.01,173,173,318,662,492,12,0.0,Projected inventory (173) breached ROP (318). Target: 662.,Scheduled Replenishment
249,20260629,4,BEN_DS_04,1,64,SNAC_CHOC_04,Snacks,27,Low,36.7,2.04,147,147,188,548,408,8,0.0,Projected inventory (147) breached ROP (188). Target: 548.,Scheduled Replenishment
250,20260629,8,BEN_DS_08,1,64,SNAC_CHOC_04,Snacks,27,Low,36.7,2.04,143,143,180,530,392,8,0.0,Projected inventory (143) breached ROP (180). Target: 530.,Scheduled Replenishment
251,20260629,16,DEL_DS_06,2,40,BEVE_WATE_10,Beverages,27,Low,37.4,2.08,167,167,297,619,452,4,0.0,Projected inventory (167) breached ROP (297). Target: 619.,Scheduled Replenishment
252,20260629,24,MUM_DS_04,3,63,SNAC_NAMK_03,Snacks,27,Low,37.4,2.08,113,113,200,418,312,8,0.0,Projected inventory (113) breached ROP (200). Target: 418.,Scheduled Replenishment
253,20260629,23,MUM_DS_03,3,39,BEVE_ENER_09,Beverages,27,Low,52.9,2.94,188,188,237,557,376,8,0.0,Projected inventory (188) breached ROP (237). Target: 557.,Scheduled Replenishment
254,20260629,22,MUM_DS_02,3,172,STAP_RICE_22,Staples,26,Low,24.8,1.38,46,46,47,247,208,8,0.0,Projected inventory (46) breached ROP (47). Target: 247.,Scheduled Replenishment
255,20260629,29,MUM_DS_09,3,46,BEVE_JUIC_16,Beverages,26,Low,24.8,1.38,132,132,243,721,600,24,0.0,Projected inventory (132) breached ROP (243). Target: 721.,Scheduled Replenishment
256,20260629,22,MUM_DS_02,3,165,STAP_SPIC_15,Staples,26,Low,25.0,1.39,47,47,47,251,204,6,0.0,Projected inventory (47) breached ROP (47). Target: 251.,Scheduled Replenishment
257,20260629,29,MUM_DS_09,3,172,STAP_RICE_22,Staples,26,Low,25.2,1.4,46,46,46,244,200,8,0.0,Projected inventory (46) breached ROP (46). Target: 244.,Scheduled Replenishment
258,20260629,29,MUM_DS_09,3,175,STAP_SPIC_25,Staples,26,Low,25.2,1.4,30,30,31,160,136,8,0.0,Projected inventory (30) breached ROP (31). Target: 160.,Scheduled Replenishment
259,20260629,40,HYD_DS_10,4,30,DAIR_PANE_30,Dairy,26,Low,25.2,1.4,107,107,200,583,480,24,0.0,Projected inventory (107) breached ROP (200). Target: 583.,Scheduled Replenishment
260,20260629,8,BEN_DS_08,1,174,STAP_EDIB_24,Staples,26,Low,25.4,1.41,48,48,124,260,216,6,0.0,Projected inventory (48) breached ROP (124). Target: 260.,Scheduled Replenishment
261,20260629,21,MUM_DS_01,3,28,DAIR_BUTT_28,Dairy,26,Low,25.4,1.41,72,72,135,390,336,24,0.0,Projected inventory (72) breached ROP (135). Target: 390.,Scheduled Replenishment
262,20260629,22,MUM_DS_02,3,152,STAP_RICE_02,Staples,26,Low,25.4,1.41,61,61,61,319,258,6,0.0,Projected inventory (61) breached ROP (61). Target: 319.,Scheduled Replenishment
263,20260629,26,MUM_DS_06,3,248,BABY_BABY_08,Baby Care,26,Low,25.4,1.41,38,38,72,207,174,6,0.0,Projected inventory (38) breached ROP (72). Target: 207.,Scheduled Replenishment
264,20260629,23,MUM_DS_03,3,133,FRUI_DAIL_13,Fruits & Vegetables,26,Low,25.6,1.42,108,108,198,578,474,6,0.0,Projected inventory (108) breached ROP (198). Target: 578.,Scheduled Replenishment
265,20260629,25,MUM_DS_05,3,268,BABY_BABY_28,Baby Care,26,Low,25.6,1.42,26,26,48,140,120,8,0.0,Projected inventory (26) breached ROP (48). Target: 140.,Scheduled Replenishment
